Date,Open,High,Low,Close,Volume
12/18/2013,505.1,506.11,503.66,505.25,62331098
12/17/2013,503.24,505.67,502.2,505.67,73599900
12/16/2013,503.46,506.52,502.04,502.04,62698890
12/13/2013,507.07,509.35,505.49,506.06,67670470
12/12/2013,503.77,507.68,503.76,506.92,80162230
12/11/2013,511.74,511.81,504.9,505.31,103538540
12/10/2013,512.1,513.83,510.24,511.6,80981720
12/9/2013,514.13,514.13,510.94,511.23,102308070
12/6/2013,510.03,512.37,509.76,510.12,78639080
12/5/2013,510.39,512.21,507.52,510.03,103881666
12/4/2013,512.01,513.4,510.66,510.88,111829030
12/3/2013,508.13,514.83,508.13,511.62,125503230
12/2/2013,509.13,509.48,507.1,508.53,77687566
11/29/2013,507.42,508.78,506.05,507.78,101245300
11/28/2013,508.53,509.15,506.99,507.71,82129185
11/27/2013,510.96,513.25,507.66,508.43,102743328
11/26/2013,506.98,510.75,504.65,509.16,93482016
11/25/2013,506.94,509.72,506.08,506.46,97382829
11/22/2013,504.52,506.46,502.83,505.64,106375314
11/21/2013,507,510.21,503.54,503.54,173935437
11/20/2013,504.68,505.75,502.98,505.52,107162214
11/19/2013,505.45,507.63,504.71,504.71,96548510
11/18/2013,503.33,507.41,503.33,506.48,115879988
11/15/2013,497.88,502.12,497.72,501.34,91215010
11/14/2013,496.67,498.82,496.12,497.85,65072980
11/13/2013,496.9,498.62,495.68,496.12,64527100
11/12/2013,500.81,501.36,496.79,497.65,121979549
11/11/2013,498.03,501.08,497.41,501.08,93276990
11/8/2013,498.8,500.47,498.33,498.61,72791380
11/7/2013,501.4,503.3,499.29,499.86,106540196
11/6/2013,500.83,502.52,499.58,502.52,81849902
11/5/2013,497.38,500.28,495.84,499.79,75859798
11/4/2013,497.25,498.49,495.68,497.07,65125290
11/1/2013,499.21,499.27,496.93,497.08,42529106
10/31/2013,500.04,500.59,497.41,497.41,43344990
10/30/2013,498,500.97,497.95,499.07,48371658
10/29/2013,494.66,497.74,494.01,497.08,57866550
10/28/2013,501.27,501.86,496.46,496.46,73718605
10/25/2013,502.8,503.17,499.53,500.75,74173428
10/24/2013,503.47,505.74,500.64,501.17,86402224
10/23/2013,501.41,504.81,501.41,504.05,82425493
10/22/2013,500.94,502.95,498.74,500.57,74970860
10/21/2013,501.8,503.72,500.25,501.57,112333650
10/18/2013,499.89,501.39,497.91,500.83,69746740
10/17/2013,501.88,502.64,498.83,499.59,64095818
10/16/2013,495.59,500.6,495.02,498.96,69932650
10/15/2013,493.03,495.72,492.37,495.72,50449010
10/14/2013,494.31,495.67,492.81,493.62,38398040
10/11/2013,496.71,498.58,494.53,494.53,53528970
10/10/2013,500.34,501.64,494.81,494.81,66509197
10/9/2013,501.28,502.52,498.98,500.67,64403480
10/8/2013,500.53,502.64,497.58,502.22,72184855
10/7/2013,497.45,502.16,496.92,500.47,72098888
10/4/2013,492.17,497.73,490.43,497.5,59715741
10/3/2013,495,495,491.59,492.3,62671326
10/2/2013,493.57,496.86,492.88,494.39,77327740
10/1/2013,491.92,496.59,491.34,492.24,102077920
9/30/2013,487.12,492.65,486.7,492.63,68463830
9/27/2013,484.68,487.82,483.85,486.61,47133220
9/26/2013,486.28,487.88,482.61,485.11,49671340
9/25/2013,482.41,488.98,482.41,486.22,80657028
9/24/2013,478.88,483.78,478.85,482.82,82400107
9/23/2013,476.79,479.09,475.06,479.09,46167730
9/20/2013,476.12,477.19,474.7,477.19,84263650
9/19/2013,477.99,478.99,475.69,476.09,35571556
9/18/2013,478.65,479.43,473.52,474.26,39014181
9/17/2013,476.21,480.16,475.82,477.73,39152080
9/16/2013,478.32,478.7,473.97,475.57,38474360
9/13/2013,475.11,478,474.54,476.42,29065440
9/12/2013,474.97,477.25,474.91,475.59,32565556
9/11/2013,474.53,478.95,473.68,476.4,33568550
9/10/2013,470.16,475.62,470.16,474.53,28763775
9/9/2013,478.98,478.98,469.39,470.16,54930194
9/6/2013,479.18,480.55,475.16,480.03,46816779
9/5/2013,473.62,477.77,470.72,477.57,47477390
9/4/2013,472.77,476.42,469.3,471.45,69278295
9/3/2013,473.56,477.08,470.26,472.17,29193619
8/30/2013,469.64,472.7,462.13,472.7,35495698
8/29/2013,473.33,477.09,468.55,468.55,39838020
8/28/2013,482.48,482.48,470.29,473.3,69272775
8/27/2013,488.23,489.89,485.57,485.57,27831794
8/26/2013,485.26,490.54,478.59,490.54,43033115
8/23/2013,496.12,497.89,482.78,486.82,54165220
8/22/2013,499.82,503.92,494.4,496.12,53025024
8/21/2013,504.77,504.78,497.01,502.7,53823892
8/20/2013,509.59,510.59,504.11,504.81,65900790
